0,0.037245,0.056874,0.025821,0.0049277,0.00044357,1.9953e-05,4.6501e-07,5.7562e-09,3.8506e-11,1.4076e-13,3.8506e-11,5.7562e-09,4.6501e-07,1.9953e-05,0.00044357,0.0049277,0.025821,0.056874,0.037245
0.037245,0.054025,0.051595,0.020845,0.0038097,0.00033629,1.4982e-05,3.4744e-07,4.2903e-09,2.8667e-11,1.0474e-13,2.8667e-11,4.2903e-09,3.4744e-07,1.4982e-05,0.00033629,0.0038097,0.020845,0.051595,0.054025
0.056874,0.051595,0.031598,0.010406,0.0017289,0.00014549,6.3221e-06,1.4472e-07,1.7754e-09,1.1826e-11,4.3153e-14,1.1826e-11,1.7754e-09,1.4472e-07,6.3221e-06,0.00014549,0.0017289,0.010406,0.031598,0.051595
0.025821,0.020845,0.010406,0.0029357,0.00044357,3.5328e-05,1.4881e-06,3.3493e-08,4.0731e-10,2.7018e-12,9.8409e-15,2.7018e-12,4.0731e-10,3.3493e-08,1.4881e-06,3.5328e-05,0.00044357,0.0029357,0.010406,0.020845
0.0049277,0.0038097,0.0017289,0.00044357,6.2383e-05,4.7376e-06,1.9382e-07,4.2903e-09,5.1719e-11,3.4161e-13,1.2419e-15,3.4161e-13,5.1719e-11,4.2903e-09,1.9382e-07,4.7376e-06,6.2383e-05,0.00044357,0.0017289,0.0038097
0.00044357,0.00033629,0.00014549,3.5328e-05,4.7376e-06,3.4744e-07,1.3893e-08,3.0336e-10,3.6301e-12,2.3891e-14,8.6717e-17,2.3891e-14,3.6301e-12,3.0336e-10,1.3893e-08,3.4744e-07,4.7376e-06,3.5328e-05,0.00014549,0.00033629
1.9953e-05,1.4982e-05,6.3221e-06,1.4881e-06,1.9382e-07,1.3893e-08,5.4685e-10,1.1826e-11,1.4076e-13,9.2398e-16,3.3499e-18,9.2398e-16,1.4076e-13,1.1826e-11,5.4685e-10,1.3893e-08,1.9382e-07,1.4881e-06,6.3221e-06,1.4982e-05
4.6501e-07,3.4744e-07,1.4472e-07,3.3493e-08,4.2903e-09,3.0336e-10,1.1826e-11,2.5421e-13,3.0156e-15,1.9761e-17,7.1591e-20,1.9761e-17,3.0156e-15,2.5421e-13,1.1826e-11,3.0336e-10,4.2903e-09,3.3493e-08,1.4472e-07,3.4744e-07
5.7562e-09,4.2903e-09,1.7754e-09,4.0731e-10,5.1719e-11,3.6301e-12,1.4076e-13,3.0156e-15,3.5706e-17,2.3376e-19,8.465e-22,2.3376e-19,3.5706e-17,3.0156e-15,1.4076e-13,3.6301e-12,5.1719e-11,4.0731e-10,1.7754e-09,4.2903e-09
3.8506e-11,2.8667e-11,1.1826e-11,2.7018e-12,3.4161e-13,2.3891e-14,9.2398e-16,1.9761e-17,2.3376e-19,1.5297e-21,5.5381e-24,1.5297e-21,2.3376e-19,1.9761e-17,9.2398e-16,2.3891e-14,3.4161e-13,2.7018e-12,1.1826e-11,2.8667e-11
1.4076e-13,1.0474e-13,4.3153e-14,9.8409e-15,1.2419e-15,8.6717e-17,3.3499e-18,7.1591e-20,8.465e-22,5.5381e-24,2.0049e-26,5.5381e-24,8.465e-22,7.1591e-20,3.3499e-18,8.6717e-17,1.2419e-15,9.8409e-15,4.3153e-14,1.0474e-13
3.8506e-11,2.8667e-11,1.1826e-11,2.7018e-12,3.4161e-13,2.3891e-14,9.2398e-16,1.9761e-17,2.3376e-19,1.5297e-21,5.5381e-24,1.5297e-21,2.3376e-19,1.9761e-17,9.2398e-16,2.3891e-14,3.4161e-13,2.7018e-12,1.1826e-11,2.8667e-11
5.7562e-09,4.2903e-09,1.7754e-09,4.0731e-10,5.1719e-11,3.6301e-12,1.4076e-13,3.0156e-15,3.5706e-17,2.3376e-19,8.465e-22,2.3376e-19,3.5706e-17,3.0156e-15,1.4076e-13,3.6301e-12,5.1719e-11,4.0731e-10,1.7754e-09,4.2903e-09
4.6501e-07,3.4744e-07,1.4472e-07,3.3493e-08,4.2903e-09,3.0336e-10,1.1826e-11,2.5421e-13,3.0156e-15,1.9761e-17,7.1591e-20,1.9761e-17,3.0156e-15,2.5421e-13,1.1826e-11,3.0336e-10,4.2903e-09,3.3493e-08,1.4472e-07,3.4744e-07
1.9953e-05,1.4982e-05,6.3221e-06,1.4881e-06,1.9382e-07,1.3893e-08,5.4685e-10,1.1826e-11,1.4076e-13,9.2398e-16,3.3499e-18,9.2398e-16,1.4076e-13,1.1826e-11,5.4685e-10,1.3893e-08,1.9382e-07,1.4881e-06,6.3221e-06,1.4982e-05
0.00044357,0.00033629,0.00014549,3.5328e-05,4.7376e-06,3.4744e-07,1.3893e-08,3.0336e-10,3.6301e-12,2.3891e-14,8.6717e-17,2.3891e-14,3.6301e-12,3.0336e-10,1.3893e-08,3.4744e-07,4.7376e-06,3.5328e-05,0.00014549,0.00033629
0.0049277,0.0038097,0.0017289,0.00044357,6.2383e-05,4.7376e-06,1.9382e-07,4.2903e-09,5.1719e-11,3.4161e-13,1.2419e-15,3.4161e-13,5.1719e-11,4.2903e-09,1.9382e-07,4.7376e-06,6.2383e-05,0.00044357,0.0017289,0.0038097
0.025821,0.020845,0.010406,0.0029357,0.00044357,3.5328e-05,1.4881e-06,3.3493e-08,4.0731e-10,2.7018e-12,9.8409e-15,2.7018e-12,4.0731e-10,3.3493e-08,1.4881e-06,3.5328e-05,0.00044357,0.0029357,0.010406,0.020845
0.056874,0.051595,0.031598,0.010406,0.0017289,0.00014549,6.3221e-06,1.4472e-07,1.7754e-09,1.1826e-11,4.3153e-14,1.1826e-11,1.7754e-09,1.4472e-07,6.3221e-06,0.00014549,0.0017289,0.010406,0.031598,0.051595
0.037245,0.054025,0.051595,0.020845,0.0038097,0.00033629,1.4982e-05,3.4744e-07,4.2903e-09,2.8667e-11,1.0474e-13,2.8667e-11,4.2903e-09,3.4744e-07,1.4982e-05,0.00033629,0.0038097,0.020845,0.051595,0.054025
